id,name,date,user_id,class,tag_based
22981518,Great Answer,2017-04-14 15:29:16.593000+00:00,1272824,1,False
13229177,Great Answer,2015-03-04 09:42:57.320000+00:00,240733,1,False
7999834,Great Answer,2013-11-05 09:55:51.583000+00:00,1694,1,False
15053639,c#,2015-07-27 21:12:41.507000+00:00,3764814,1,True
3202703,Fanatic,2012-04-11 01:06:55.913000+00:00,400375,1,False
9215857,Stellar Question,2014-02-26 15:55:55.233000+00:00,650574,1,False
19137154,Great Answer,2016-06-23 12:10:28.110000+00:00,1264442,1,False
13913594,Great Answer,2015-04-22 20:27:45.770000+00:00,4676,1,False
20342730,Fanatic,2016-09-23 03:20:08.170000+00:00,2543481,1,False
19017386,Fanatic,2016-06-14 00:36:31.747000+00:00,5827215,1,False
24326007,Populist,2017-07-26 05:21:05.107000+00:00,615245,1,False
16631446,Electorate,2015-12-01 07:02:00.423000+00:00,3153643,1,False
17273153,Electorate,2016-01-26 18:17:59.463000+00:00,406429,1,False
7694283,Unsung Hero,2013-10-04 01:28:39.440000+00:00,2045570,1,False
24586151,Great Answer,2017-08-09 16:19:25.873000+00:00,279627,1,False
7574785,Great Answer,2013-09-21 14:34:44.283000+00:00,118234,1,False
9414382,Great Question,2014-03-17 06:26:19.767000+00:00,2018,1,False
1706949,Great Question,2011-05-10 09:30:45.073000+00:00,19927,1,False
13558487,Great Answer,2015-04-02 09:31:25.890000+00:00,209568,1,False
21301266,Great Answer,2016-12-01 21:20:06.673000+00:00,1461424,1,False
22560443,Great Answer,2017-03-14 03:13:52.150000+00:00,103959,1,False
25672055,Fanatic,2017-10-29 04:28:29.597000+00:00,1915854,1,False
521473,Great Answer,2009-11-04 13:28:01.353000+00:00,445,1,False
28714567,Unsung Hero,2018-07-02 18:22:54.097000+00:00,6639082,1,False
16988430,Steward,2016-01-03 03:34:15.483000+00:00,5299236,1,False
26136691,Great Answer,2017-12-04 16:10:05.247000+00:00,65358,1,False
4826685,Electorate,2012-11-21 05:17:31.780000+00:00,390913,1,False
23054350,Great Answer,2017-04-20 16:01:34.313000+00:00,2589845,1,False
20428701,Fanatic,2016-09-29 20:43:10.307000+00:00,5870394,1,False
15755643,Steward,2015-09-25 15:32:30.263000+00:00,1199684,1,False
21921320,ggplot2,2017-01-25 17:20:16.563000+00:00,496488,1,True
3438120,Great Answer,2012-05-22 00:32:21.910000+00:00,46926,1,False
14541155,Fanatic,2015-06-14 07:30:51.707000+00:00,1222712,1,False
13318763,Steward,2015-03-12 10:16:23.280000+00:00,4170437,1,False
5132533,Great Answer,2012-12-29 08:14:18.187000+00:00,3333,1,False
26134140,Great Question,2017-12-04 12:52:04.567000+00:00,522895,1,False
9451721,visual-studio-2010,2014-03-20 03:16:34.140000+00:00,23283,1,True
22271051,Unsung Hero,2017-02-20 14:49:43.280000+00:00,3749818,1,False
7068155,Unsung Hero,2013-07-27 20:47:05.130000+00:00,732771,1,False
